FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.jxpath.ri.Compiler.AXIS_ATTRIBUTE,Field,No Comment,int AXIS_ATTRIBUTE = 5;,int AXIS_ATTRIBUTE,default
org.apache.commons.jxpath.ri.Compiler.AXIS_NAMESPACE,Field,No Comment,int AXIS_NAMESPACE = 6;,int AXIS_NAMESPACE,default
org.apache.commons.jxpath.ri.Compiler.AXIS_PRECEDING,Field,No Comment,int AXIS_PRECEDING = 7;,int AXIS_PRECEDING,default
org.apache.commons.jxpath.ri.Compiler.AXIS_FOLLOWING,Field,No Comment,int AXIS_FOLLOWING = 8;,int AXIS_FOLLOWING,default
org.apache.commons.jxpath.ri.Compiler.AXIS_DESCENDANT,Field,No Comment,int AXIS_DESCENDANT = 9;,int AXIS_DESCENDANT,default
org.apache.commons.jxpath.ri.Compiler.AXIS_ANCESTOR_OR_SELF,Field,No Comment,int AXIS_ANCESTOR_OR_SELF = 10;,int AXIS_ANCESTOR_OR_SELF,default
org.apache.commons.jxpath.ri.Compiler.AXIS_FOLLOWING_SIBLING,Field,No Comment,int AXIS_FOLLOWING_SIBLING = 11;,int AXIS_FOLLOWING_SIBLING,default
org.apache.commons.jxpath.ri.Compiler.AXIS_PRECEDING_SIBLING,Field,No Comment,int AXIS_PRECEDING_SIBLING = 12;,int AXIS_PRECEDING_SIBLING,default
org.apache.commons.jxpath.ri.Compiler.AXIS_DESCENDANT_OR_SELF,Field,No Comment,int AXIS_DESCENDANT_OR_SELF = 13;,int AXIS_DESCENDANT_OR_SELF,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_LAST,Field,No Comment,int FUNCTION_LAST = 1;,int FUNCTION_LAST,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_POSITION,Field,No Comment,int FUNCTION_POSITION = 2;,int FUNCTION_POSITION,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_COUNT,Field,No Comment,int FUNCTION_COUNT = 3;,int FUNCTION_COUNT,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_ID,Field,No Comment,int FUNCTION_ID = 4;,int FUNCTION_ID,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_LOCAL_NAME,Field,No Comment,int FUNCTION_LOCAL_NAME = 5;,int FUNCTION_LOCAL_NAME,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_NAMESPACE_URI,Field,No Comment,int FUNCTION_NAMESPACE_URI = 6;,int FUNCTION_NAMESPACE_URI,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_NAME,Field,No Comment,int FUNCTION_NAME = 7;,int FUNCTION_NAME,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_STRING,Field,No Comment,int FUNCTION_STRING = 8;,int FUNCTION_STRING,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_CONCAT,Field,No Comment,int FUNCTION_CONCAT = 9;,int FUNCTION_CONCAT,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_STARTS_WITH,Field,No Comment,int FUNCTION_STARTS_WITH = 10;,int FUNCTION_STARTS_WITH,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_CONTAINS,Field,No Comment,int FUNCTION_CONTAINS = 11;,int FUNCTION_CONTAINS,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_SUBSTRING_BEFORE,Field,No Comment,int FUNCTION_SUBSTRING_BEFORE = 12;,int FUNCTION_SUBSTRING_BEFORE,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_SUBSTRING_AFTER,Field,No Comment,int FUNCTION_SUBSTRING_AFTER = 13;,int FUNCTION_SUBSTRING_AFTER,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_SUBSTRING,Field,No Comment,int FUNCTION_SUBSTRING = 14;,int FUNCTION_SUBSTRING,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_STRING_LENGTH,Field,No Comment,int FUNCTION_STRING_LENGTH = 15;,int FUNCTION_STRING_LENGTH,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_NORMALIZE_SPACE,Field,No Comment,int FUNCTION_NORMALIZE_SPACE = 16;,int FUNCTION_NORMALIZE_SPACE,default
